,longitude,latitude,date,month,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
0,-117.317,53.073,2023-01-01,01,D,2.1228962,2.8835,262.4497,272.73877,271.94824,273.22778,275.20117,1.0,0.0,0.2659428,0.26376545,0.25631464,0.3203187
1,-117.553,54.403,2023-01-01,01,N,2.834571,0.66467845,271.4414,269.94775,271.16333,272.6001,276.1875,2.0,0.0,0.32948476,0.30260992,0.2989794,0.3604867
2,-117.975,53.487,2023-01-02,01,D,2.439229,2.2304745,259.70825,270.24194,271.8274,273.23193,275.22925,2.0,0.0,0.29221022,0.29158282,0.2891159,0.3401727
3,-117.157,53.395,2023-01-03,01,D,2.9007483,1.663044,259.7915,269.58472,271.34253,272.75635,276.04346,2.0,0.0,0.38539326,0.37918645,0.37979853,0.4329207
4,-117.744,55.159,2023-01-03,01,N,1.395463,0.99391073,261.56006,269.50146,270.7705,272.1704,276.4558,4.0,0.0,0.36512965,0.32484525,0.32157522,0.39092875
5,-117.169,54.912,2023-01-04,01,D,1.343298,1.8479624,255.4462,267.53564,270.62134,272.33154,276.63477,4.0,0.0,0.38984138,0.35026163,0.35156405,0.41092378
6,-117.437,53.292,2023-01-04,01,N,2.1262074,2.1934166,267.93433,271.0437,271.3474,272.8247,275.3064,2.0,0.0,0.3128724,0.30912423,0.30985534,0.36970395
7,-115.663,54.159,2023-01-06,01,D,1.567318,0.6415279,255.5115,267.4746,270.72827,272.54395,275.57227,2.0,0.0,0.28448194,0.25847143,0.24873382,0.3089987
8,-122.243,56.296,2023-01-07,01,D,2.030878,0.7339359,262.95386,270.45288,271.3518,272.14233,274.55957,1.0,0.0,0.1891082,0.15573823,0.20424366,0.2642792
9,-117.953,56.106,2023-01-07,01,N,-0.07162708,1.16784,264.05664,266.17554,268.04712,271.5298,275.45898,4.0,0.0,0.3273973,0.26003706,0.2873065,0.3330751
10,-117.527,53.86,2023-01-08,01,D,1.3592253,1.7832241,268.49976,270.60376,270.39062,272.135,274.93335,2.0,1.0054134e-05,0.32359385,0.31113237,0.30602175,0.36113274
11,-120.239,56.834,2023-01-08,01,N,0.16925889,-0.51887435,267.22974,271.84106,270.5962,272.21362,275.70312,4.0,0.0,0.39682984,0.37489998,0.41322,0.46167207
