,longitude,latitude,date,month,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
0,-117.568,53.337,2023-01-01,01,D,2.5159802,2.5883758,262.85846,272.5425,271.44046,272.86493,275.31985,2.0,0.0,0.29758304,0.2920214,0.29061806,0.35216644
1,-117.317,53.337,2023-01-01,01,D,2.5986462,2.1936626,262.8166,272.59473,271.36023,272.81754,275.7973,2.0,0.0,0.34742326,0.34092075,0.3405289,0.39939606
2,-117.568,53.087,2023-01-01,01,D,1.4903506,2.7963135,261.8955,272.6661,271.95822,273.15277,274.92963,1.0,0.0,0.22872552,0.22448899,0.2179814,0.28218558
3,-117.317,53.087,2023-01-01,01,D,2.1646204,2.8860455,262.575,272.72733,271.90247,273.17975,275.21088,1.0,0.0,0.26845407,0.26585615,0.25874904,0.32299864
4,-117.568,52.836,2023-01-01,01,D,0.66663927,2.4668207,258.88763,272.66483,272.34244,273.45847,274.94138,1.0,4.98211e-06,0.14631623,0.1492284,0.15415806,0.236539
5,-117.317,52.836,2023-01-01,01,D,1.3457147,2.5182004,259.5789,272.65826,272.2456,273.442,275.06256,1.0,4.0720975e-06,0.18302509,0.18370686,0.18841311,0.26836836
6,-117.794,54.413,2023-01-01,01,N,3.1057658,0.8164136,271.99792,270.17444,271.273,272.73837,276.09256,2.0,0.0,0.31894052,0.29954177,0.2891004,0.3476311
7,-117.544,54.413,2023-01-01,01,N,2.8147924,0.6613224,271.3551,269.93063,271.16354,272.60843,276.21973,2.0,0.0,0.33077857,0.3029438,0.3001014,0.36221486
8,-117.294,54.413,2023-01-01,01,N,2.3930044,0.6018575,270.24796,269.92404,271.20825,272.58453,276.36517,2.0,0.0,0.3342353,0.30513752,0.30706477,0.37480223
9,-117.794,54.162,2023-01-01,01,N,3.3502035,0.90012866,271.8864,270.54483,271.21613,272.60242,275.72202,2.0,0.0,0.32518116,0.31346804,0.30549896,0.36298147
10,-117.544,54.162,2023-01-01,01,N,2.9698975,0.73684484,271.74997,270.21375,271.0569,272.35757,275.72137,2.0,0.0,0.32655722,0.30922806,0.30355236,0.36108172
11,-117.294,54.162,2023-01-01,01,N,2.50857,0.69448435,271.18082,270.3118,271.1621,272.3442,275.78958,2.0,0.0,0.320778,0.30662847,0.300506,0.35965997
12,-118.217,53.747,2023-01-02,01,D,2.159391,3.2924423,261.73462,270.43796,272.00894,273.40878,275.5394,2.0,0.0,0.31299528,0.3110432,0.31302556,0.36832613
13,-117.9665,53.747,2023-01-02,01,D,2.192704,2.9626324,261.52603,269.77075,271.6794,273.217,275.62903,2.0,0.0,0.31886584,0.31692892,0.31518912,0.36800256
14,-117.716,53.747,2023-01-02,01,D,1.905097,2.8597267,261.17325,269.273,271.2886,272.72507,275.49658,2.0,0.0,0.31650013,0.31330118,0.30741107,0.36375573
15,-118.217,53.497,2023-01-02,01,D,2.5576649,2.401545,259.93597,271.12625,272.21173,273.33917,274.88123,1.0,0.0,0.24360597,0.24365696,0.23720314,0.28799632
16,-117.9665,53.497,2023-01-02,01,D,2.4646473,2.2592204,259.78937,270.19638,271.80536,273.2241,275.25513,2.0,0.0,0.29673192,0.29614684,0.29340735,0.3448
17,-117.716,53.497,2023-01-02,01,D,2.5072548,2.759677,260.92346,269.7224,271.54858,272.9926,275.4094,2.0,0.0,0.31544277,0.31307963,0.31248465,0.36532348
18,-118.217,53.246,2023-01-02,01,D,2.1291215,1.3428268,258.18707,271.45782,272.36487,273.30402,274.5012,1.0,0.0,0.2074318,0.20693237,0.20879903,0.24660647
19,-117.9665,53.246,2023-01-02,01,D,1.7876148,2.0180955,258.615,270.98486,272.15488,273.23853,274.72623,1.0,0.0,0.19424158,0.19067389,0.1970346,0.24210924
20,-117.716,53.246,2023-01-02,01,D,1.9500312,2.9595087,260.06244,270.5647,271.84503,273.0433,274.96725,1.0,0.0,0.23062305,0.22506733,0.2305177,0.28405187
21,-117.367,53.636,2023-01-03,01,D,2.3346941,1.1159477,256.5541,269.2968,271.11957,272.66968,275.91882,2.0,0.0,0.3776855,0.37256163,0.37109315,0.42198992
22,-117.1165,53.636,2023-01-03,01,D,2.312582,0.56728685,256.88797,269.43033,271.44492,273.11804,276.41074,2.0,0.0,0.41409314,0.40886205,0.41099554,0.45619157
23,-116.866,53.636,2023-01-03,01,D,2.39162,0.10598886,256.30878,269.1404,271.44916,273.42206,277.25458,2.0,0.0,0.48328716,0.47665697,0.4793989,0.52087486
24,-117.367,53.385,2023-01-03,01,D,2.5880795,2.0794997,259.92065,269.7452,271.42325,272.9917,275.9124,2.0,0.0,0.370601,0.3656035,0.3695051,0.41967666
25,-117.1165,53.385,2023-01-03,01,D,2.9464455,1.635066,259.90015,269.56857,271.33987,272.73032,276.08224,6.0,0.0,0.38895357,0.3823921,0.38238052,0.43658137
26,-116.866,53.385,2023-01-03,01,D,2.9679775,1.2134894,259.1784,269.25015,271.3373,273.03223,276.96588,6.0,0.0,0.46149722,0.4534458,0.45440438,0.50458163
27,-118.056,55.821,2023-01-03,01,N,1.2912289,0.5471124,260.43994,268.33914,270.3281,272.10364,276.87845,4.0,0.0,0.3738925,0.27361435,0.28022838,0.3692856
28,-117.8055,55.821,2023-01-03,01,N,0.84165394,1.2131724,259.5155,268.49765,270.5913,271.99048,276.38873,2.0,1.3514727e-07,0.32647386,0.24083078,0.25841883,0.32419652
29,-117.555,55.821,2023-01-03,01,N,0.5061137,1.4005404,258.4679,268.33215,270.50546,271.92645,276.17783,2.0,1.3514727e-07,0.30282432,0.22047828,0.24208462,0.3009398
30,-118.056,55.571,2023-01-03,01,N,1.1179423,1.2079694,262.59888,269.24286,270.76144,272.08023,276.47125,2.9999847,0.0,0.31787473,0.26657894,0.2672217,0.33600274
31,-117.8055,55.571,2023-01-03,01,N,1.1582347,1.3433964,262.36243,269.07898,270.7372,272.16248,276.62524,4.0,0.0,0.3500977,0.2744298,0.28618208,0.36978182
32,-117.555,55.571,2023-01-03,01,N,1.0165961,1.4759395,261.5217,268.87076,270.6445,272.1605,276.58813,4.0,0.0,0.3466799,0.26348487,0.2804344,0.36458743
33,-118.056,55.32,2023-01-03,01,N,1.4662882,1.5213097,261.31653,269.42648,270.73282,272.18027,276.75436,4.0,0.0,0.35918656,0.33080113,0.32890505,0.3909861
34,-117.8055,55.32,2023-01-03,01,N,1.2991701,1.4052231,261.65176,269.3485,270.75137,272.191,276.68866,4.0,0.0,0.37683728,0.3318125,0.33259383,0.4073656
35,-117.555,55.32,2023-01-03,01,N,1.2876831,1.3431586,262.31042,269.29483,270.78427,272.21637,276.689,4.0,0.0,0.38705856,0.33614564,0.33456242,0.41463494
36,-117.379,54.615,2023-01-04,01,D,1.7282064,1.8883672,257.02133,268.0759,270.95236,272.52954,276.3292,2.0,0.0,0.336681,0.2957527,0.30005887,0.36916086
37,-117.128,54.615,2023-01-04,01,D,1.2931633,1.9775171,256.57465,267.98114,270.94437,272.49173,276.3882,2.0,0.0,0.3468635,0.30219746,0.31288993,0.38810223
38,-117.379,54.364,2023-01-04,01,D,2.1070976,1.7272272,257.21353,268.2775,270.96634,272.5323,275.99863,2.0,0.0,0.33318248,0.30626768,0.30616477,0.36986315
39,-117.128,54.364,2023-01-04,01,D,1.6808853,1.918574,256.44492,268.3296,271.10904,272.55447,276.03934,2.0,0.0,0.32417274,0.30090484,0.29887307,0.3651821
40,-117.679,53.552,2023-01-04,01,N,1.6449326,1.4825282,267.78577,270.81973,271.22928,272.81635,275.24698,2.0,0.0,0.31409982,0.31157318,0.30831566,0.3641802
41,-117.4285,53.552,2023-01-04,01,N,1.7535253,1.4525638,268.91068,270.81567,271.12128,272.71777,275.58862,2.0,0.0,0.35135847,0.3469067,0.3476179,0.3965669
42,-117.178,53.552,2023-01-04,01,N,1.9172184,1.1540661,269.2624,270.88684,271.32513,273.1745,276.5419,2.0,0.0,0.44136792,0.43654722,0.44055885,0.4833358
43,-117.679,53.302,2023-01-04,01,N,1.7475724,1.983071,266.3879,271.12225,271.5387,272.9656,274.9825,1.0,0.0,0.25620204,0.2544115,0.25532603,0.313689
44,-117.4285,53.302,2023-01-04,01,N,2.123062,2.1522303,268.0116,271.0372,271.345,272.838,275.3592,2.0,0.0,0.3185417,0.31478128,0.31569913,0.3747382
45,-117.178,53.302,2023-01-04,01,N,2.2345066,1.672566,270.005,271.06848,271.22827,272.53027,275.43604,2.0,0.0,0.33177197,0.3255951,0.3230965,0.38587487
46,-117.679,53.051,2023-01-04,01,N,1.1478672,2.3285046,262.62708,271.77692,272.07568,273.21118,274.73007,1.0,0.0,0.21813947,0.21383756,0.2130732,0.26906043
47,-117.4285,53.051,2023-01-04,01,N,1.3486699,2.2252061,263.57153,271.53082,271.9558,273.20084,274.8241,1.0,0.0,0.23375079,0.22855619,0.22047752,0.28506577
48,-117.178,53.051,2023-01-04,01,N,1.7006963,1.9679453,265.6122,271.47693,271.9087,273.12564,275.09628,1.0,0.0,0.27100265,0.2674343,0.2598457,0.32508075
49,-115.918,54.407,2023-01-06,01,D,0.48972267,1.1010667,257.93695,267.63873,270.4981,272.05167,274.99652,2.0,0.0,0.30469948,0.28963757,0.28559977,0.3420049
50,-115.6675,54.407,2023-01-06,01,D,1.1846411,0.6698923,257.22974,267.46033,270.46133,272.00497,274.98865,2.0,0.0,0.29445618,0.27616882,0.2746411,0.33328733
51,-115.417,54.407,2023-01-06,01,D,1.6728976,0.5227362,257.06476,266.97412,270.19858,272.02267,275.10352,2.0,0.0,0.2862015,0.27455246,0.27528834,0.32716098
52,-115.918,54.157,2023-01-06,01,D,0.9932706,1.0656761,255.93909,267.70016,270.76398,272.53043,275.48572,2.0,0.0,0.29491732,0.274826,0.2625196,0.324051
53,-115.6675,54.157,2023-01-06,01,D,1.567018,0.65466404,255.48997,267.4805,270.73264,272.5512,275.578,2.0,0.0,0.28452593,0.25840998,0.24849342,0.3088744
54,-115.417,54.157,2023-01-06,01,D,1.7075764,0.48096836,256.01147,267.3344,270.70312,272.6431,275.7532,2.0,0.0,0.29298255,0.27093714,0.26633874,0.31193203
55,-115.918,53.906,2023-01-06,01,D,1.8430604,1.3816489,256.00876,267.94427,271.08942,273.0498,275.97702,2.0,0.0,0.2930512,0.2728189,0.2567222,0.31659147
56,-115.6675,53.906,2023-01-06,01,D,1.8739618,1.2824316,255.1237,267.77612,271.04047,272.99258,276.0135,2.0,0.0,0.28657767,0.26061577,0.2396937,0.3016311
