fire_latitude,fire_longitude,climate_latitude,climate_longitude,daynight,year,month,day,date,brightness,confidence,frp,bright_t31,fire_occurrence,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
52.9461,-123.375,52.551,-122.721,D,2020,01,20,2020-01-20,303.5,49,11.0,274.6,0,-2.9501305,4.4746466,273.4237,273.02484,272.70273,273.13846,274.59045,2.0,0.00030783837,0.35312182,0.3548224,0.3562128,0.3892788
52.9371,-123.3814,52.551,-122.721,D,2020,01,20,2020-01-20,319.4,75,22.6,274.8,0,-2.9501305,4.4746466,273.4237,273.02484,272.70273,273.13846,274.59045,2.0,0.00030783837,0.35312182,0.3548224,0.3562128,0.3892788
52.9347,-123.3963,52.551,-122.721,D,2020,01,20,2020-01-20,320.8,76,24.2,275.2,0,-2.9501305,4.4746466,273.4237,273.02484,272.70273,273.13846,274.59045,2.0,0.00030783837,0.35312182,0.3548224,0.3562128,0.3892788
56.2715,-122.1666,55.062,-117.898,D,2020,01,22,2020-01-22,349.5,96,68.5,272.7,1,1.1614265,1.4030651,269.49124,271.65985,270.6711,272.6293,274.55463,2.0,1.1610757e-05,0.39524388,0.38420403,0.39834183,0.40343484
56.278,-122.1752,55.062,-117.898,D,2020,01,22,2020-01-22,321.3,81,25.9,271.2,0,1.1614265,1.4030651,269.49124,271.65985,270.6711,272.6293,274.55463,2.0,1.1610757e-05,0.39524388,0.38420403,0.39834183,0.40343484
56.2547,-121.9719,56.303,-119.59,N,2020,01,23,2020-01-23,325.5,95,0.0,265.0,1,0.014415562,1.3102425,268.23267,268.0104,270.40753,271.99567,274.3753,4.0,3.1490068e-05,0.42417675,0.42260683,0.4168749,0.3716352
56.2527,-121.9927,56.303,-119.59,N,2020,01,23,2020-01-23,324.3,94,0.0,265.9,1,0.014415562,1.3102425,268.23267,268.0104,270.40753,271.99567,274.3753,4.0,3.1490068e-05,0.42417675,0.42260683,0.4168749,0.3716352
55.0879,-120.6437,55.11,-119.965,D,2020,01,24,2020-01-24,315.9,72,111.6,274.0,0,1.9356118,1.5513422,268.00137,269.82516,271.2492,272.56052,274.16287,1.9999847,0.0,0.37111244,0.36884156,0.37906843,0.3807702
55.0737,-120.5973,55.11,-119.965,D,2020,01,24,2020-01-24,323.6,82,156.4,274.8,0,1.9356118,1.5513422,268.00137,269.82516,271.2492,272.56052,274.16287,1.9999847,0.0,0.37111244,0.36884156,0.37906843,0.3807702
55.0931,-120.6465,55.11,-119.965,D,2020,01,24,2020-01-24,308.8,64,79.6,273.8,0,1.9356118,1.5513422,268.00137,269.82516,271.2492,272.56052,274.16287,1.9999847,0.0,0.37111244,0.36884156,0.37906843,0.3807702
55.0791,-120.5998,55.11,-119.965,D,2020,01,24,2020-01-24,327.9,85,184.8,274.9,0,1.9356118,1.5513422,268.00137,269.82516,271.2492,272.56052,274.16287,1.9999847,0.0,0.37111244,0.36884156,0.37906843,0.3807702
55.0822,-120.6064,55.11,-119.965,D,2020,01,24,2020-01-24,317.9,74,24.5,274.1,0,1.9356118,1.5513422,268.00137,269.82516,271.2492,272.56052,274.16287,1.9999847,0.0,0.37111244,0.36884156,0.37906843,0.3807702
55.079,-120.6234,55.11,-119.965,D,2020,01,24,2020-01-24,385.4,100,220.7,279.8,1,1.9356118,1.5513422,268.00137,269.82516,271.2492,272.56052,274.16287,1.9999847,0.0,0.37111244,0.36884156,0.37906843,0.3807702
55.0759,-120.6406,55.11,-119.965,D,2020,01,24,2020-01-24,327.1,85,35.0,275.3,0,1.9356118,1.5513422,268.00137,269.82516,271.2492,272.56052,274.16287,1.9999847,0.0,0.37111244,0.36884156,0.37906843,0.3807702
55.0747,-120.8689,55.11,-119.965,D,2020,01,24,2020-01-24,315.0,75,23.2,273.8,0,1.9356118,1.5513422,268.00137,269.82516,271.2492,272.56052,274.16287,1.9999847,0.0,0.37111244,0.36884156,0.37906843,0.3807702
56.7459,-121.6738,56.3,-120.948,N,2020,01,25,2020-01-25,323.6,100,31.3,271.3,1,0.8359668,2.909809,274.7059,270.3017,271.218,272.27362,274.01273,2.0,0.0,0.34937274,0.3428364,0.32928473,0.29036206
56.7387,-121.6525,56.3,-120.948,N,2020,01,25,2020-01-25,336.1,100,49.3,270.7,1,0.8359668,2.909809,274.7059,270.3017,271.218,272.27362,274.01273,2.0,0.0,0.34937274,0.3428364,0.32928473,0.29036206
56.7367,-121.67,56.3,-120.948,N,2020,01,25,2020-01-25,342.7,100,61.7,271.0,1,0.8359668,2.909809,274.7059,270.3017,271.218,272.27362,274.01273,2.0,0.0,0.34937274,0.3428364,0.32928473,0.29036206
56.7409,-121.6537,56.3,-120.948,N,2020,01,25,2020-01-25,314.3,89,32.3,269.5,0,0.8359668,2.909809,274.7059,270.3017,271.218,272.27362,274.01273,2.0,0.0,0.34937274,0.3428364,0.32928473,0.29036206
